epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.43,2.62471,13.27,3.99405,0.24409,0.05901,0.03855,0.0134,2.50772,12.3079,3.53253,9.98723e-05,9.98723e-05,9.98723e-05
2,533.612,2.15507,10.5213,3.0077,0.27234,0.36888,0.27116,0.15008,1.79721,8.47721,2.62396,0.000199567,0.000199567,0.000199567
3,789.036,1.43105,7.13401,2.2041,0.39427,0.5161,0.42968,0.30037,1.2813,6.28702,2.05724,0.000298045,0.000298045,0.000298045
4,1042.7,1.10723,5.5969,1.84402,0.50233,0.56798,0.53422,0.39438,1.0515,5.15007,1.8174,0.000295897,0.000295897,0.000295897
5,1298.77,0.98267,4.91191,1.70566,0.61747,0.58733,0.61038,0.47588,0.95189,4.51993,1.7091,0.000292732,0.000292732,0.000292732
6,1546.28,0.90421,4.4218,1.61473,0.60871,0.63294,0.63028,0.49693,0.89894,4.21935,1.64632,0.000288696,0.000288696,0.000288696
7,1788.08,0.84989,4.09612,1.55569,0.669,0.65732,0.68644,0.54708,0.84815,3.87773,1.59022,0.000283814,0.000283814,0.000283814
8,2030.58,0.81055,3.78991,1.51064,0.71959,0.67442,0.7189,0.58689,0.80165,3.57081,1.54763,0.000278117,0.000278117,0.000278117
9,2271.86,0.78545,3.55084,1.48155,0.71174,0.67327,0.72184,0.59509,0.78766,3.49158,1.53226,0.000271639,0.000271639,0.000271639
10,2513.72,0.7629,3.31064,1.45722,0.74962,0.69677,0.74386,0.61807,0.75312,3.29107,1.49338,0.00026442,0.00026442,0.00026442
11,2756.83,0.73828,3.10072,1.42987,0.78693,0.71202,0.77458,0.63886,0.75365,3.03977,1.49604,0.000256505,0.000256505,0.000256505
12,2997.66,0.72324,2.89732,1.41395,0.79727,0.7171,0.7849,0.65153,0.73505,2.94145,1.47117,0.000247943,0.000247943,0.000247943
13,3238.8,0.70234,2.6904,1.39277,0.80487,0.73973,0.80305,0.6772,0.70537,2.75467,1.44418,0.000238786,0.000238786,0.000238786
